case,dim,points,multiplicity,total_conditions,pick_size,j_dimension,boundary_grid,pick_build_s,pick_eig_s,psd_check_s,constant_solution_s,potapov_build_s,potapov_eval_s,j_check_s,time_s,min_pick_eigenvalue,max_pick_eigenvalue,solvable,constant_solution_sigma_max,max_tangential_residual,constant_solution_relative_error,j_inner_residual,points_per_channel,full_mimo_pick_s,scalar_blocks_pick_s,scalar_block_time_s,speedup_scalar_blocks_vs_full_mimo,diagonal_block_relative_error,diagonal_block_eigenvalue_relative_error
full_mimo_tangential_schur,2,4,1,4,4,4,256,8.393998723477125e-05,2.6094145141541958e-05,6.559502799063921e-05,8.394510950893164e-05,0.000187141471542418,0.004621916566975415,0.0024547046050429344,0.007523336913436651,0.04032144916067902,16.278929785964333,True,0.5500000000000002,7.567550979207756e-16,1.942890293094024e-16,5.427575909634649e-15,,,,,,,
full_mimo_tangential_schur,2,8,1,8,8,4,256,0.00020588701590895653,1.2473901733756065e-05,0.00020708504598587751,4.444445949047804e-05,0.0002553509548306465,0.008921447908505797,0.002417007926851511,0.012063697213307023,0.005498095612553547,8.943712201974197,True,0.5500000000000003,7.4165058627159095e-16,2.8877805767053584e-16,8.662139725426719e-15,,,,,,,
diagonal_mimo_vs_scalar_blocks,2,8,1,8,8,,,,1.178740058094263e-05,,,,,,0.00021750887390226126,7.059208025739391e-09,,,,,,,4,0.00020572147332131863,3.4159980714321136e-05,3.4159980714321136e-05,0.1660496600710529,0.0,0.0
diagonal_mimo_vs_scalar_blocks,2,16,1,16,16,,,,1.4277524314820766e-05,,,,,,0.0007704140152782202,2.253619405491087e-06,,,,,,,8,0.0007561364909633994,7.767300121486187e-05,7.767300121486187e-05,0.10272351902484972,0.0,3.51975210570555e-16
full_mimo_tangential_schur,3,4,1,4,4,6,256,5.825608968734741e-05,6.442423909902573e-06,6.273447070270777e-05,4.713493399322033e-05,0.00014849810395389795,0.004699588869698346,0.0027838971000164747,0.007806551991961896,0.6609921886226222,12.706063369495553,True,0.5500000000000002,8.943639383118198e-16,3.705990171000178e-16,3.3817020394409194e-15,,,,,,,
full_mimo_tangential_schur,3,8,1,8,8,6,256,0.0002054119249805808,1.2639560736715794e-05,0.00020419899374246597,5.762989167124033e-05,0.0002578770508989692,0.009187826071865857,0.0028364425525069237,0.012762026046402752,0.01770616426340392,20.63373986547464,True,0.5499999999999998,1.5094606390056414e-15,4.4281810606642153e-16,7.999505763003228e-15,,,,,,,
diagonal_mimo_vs_scalar_blocks,3,12,1,12,12,,,,1.7848447896540165e-05,,,,,,0.0004597059451043606,0.005115756578437168,,,,,,,4,0.0004418574972078204,4.614854697138071e-05,4.614854697138071e-05,0.10444214993069474,0.0,0.0
diagonal_mimo_vs_scalar_blocks,3,24,1,24,24,,,,2.0198523998260498e-05,,,,,,0.0016903325449675322,2.795028038331301e-09,,,,,,,8,0.0016701340209692717,0.00011312600690871477,0.00011312600690871477,0.06773468804800555,0.0,2.4615842514141348e-17
full_mimo_tangential_schur,4,4,1,4,4,8,256,5.7819997891783714e-05,6.492482498288155e-06,6.286997813731432e-05,5.434395279735327e-05,0.00014855305198580027,0.004875986138358712,0.003240783466026187,0.008446849067695439,0.9737079256697341,19.149625595433204,True,0.5499999999999998,1.0874378078096066e-15,4.2331841817350364e-16,5.246675417252779e-15,,,,,,,
full_mimo_tangential_schur,4,8,1,8,8,8,256,0.00020400912035256624,1.0990886949002743e-05,0.00020462553948163986,5.10575482621789e-05,0.0002537741092965007,0.009432838065549731,0.003226155648007989,0.013383450917899609,0.1138057549036214,22.847820311437424,True,0.55,1.6083721438312483e-15,5.334387514978628e-16,8.757195009453154e-15,,,,,,,
diagonal_mimo_vs_scalar_blocks,4,16,1,16,16,,,,1.589453313499689e-05,,,,,,0.0007793606491759419,0.00043322674029948517,,,,,,,4,0.000763466116040945,5.916808731853962e-05,5.916808731853962e-05,0.07749929705507246,0.0,1.8367949787969473e-16
diagonal_mimo_vs_scalar_blocks,4,32,1,32,32,,,,2.9406044632196426e-05,,,,,,0.0029904256807640195,6.858564856547977e-08,,,,,,,8,0.002961019636131823,0.00014702987391501665,0.00014702987391501665,0.04965514990879681,0.0,1.7986847255162782e-16
